id_tweet;tweet
1054399548326584322;b"RT @nvdems: It's not too late to get your ticket to hear from President @BarackObama and very special guests @JBALVIN, @AmericaFerrera and\xe2\x80\xa6"
1054399578932424704;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054399645978370055;b'@PrinceRoyce @JBALVIN manifestantes de alegr\xc3\xada y amor pa la cultura \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc #Brooklyn #VibrasTour song: Sensualidad https://t.co/UDwQe9MMks'
1054399753373532160;b"RT @nvdems: It's not too late to get your ticket to hear from President @BarackObama and very special guests @JBALVIN, @AmericaFerrera and\xe2\x80\xa6"
1054401188886704128;b'RT @Anuel_2bleA: Gracias a @JBALVIN por la oportunidad anoche..  \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96#RealHastaLaMuerte #VibrasTour NY https://t.co/xTjvG1xc6b'
1054401278959345664;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054401421431455744;b'RT @Anuel_2bleA: \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96 https://t.co/bBZP5cK60x'
1054401533914148864;b"RT @BRITs: Big congrats to @LiamPayne and @JBALVIN as 'Familiar' is now a #BRITcertified Gold selling single! \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x93\x80 https://t.co/uluBNa4a3S"
1054401887540260864;b'Ahora s\xc3\xad! \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1054401918506844160;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054402297722216448;b'1 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402313161531395;b'RT @barclayscenter: Panas \xf0\x9f\xa4\x99\n\n@JBALVIN x @Anuel_2bleA \n\n#VibrasTour \xf0\x9f\xa6\x96 https://t.co/MB3MAiPf9F'
1054402326981763073;b'2 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402406409220099;b'3 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402422339223552;b'RT @La_familia_La: \xc2\xa1Acomp\xc3\xa1\xc3\xb1ame con el Presidente @BarackObama,  y el invitado musical especial @JBALVIN para un rally en Las Vegas este lun\xe2\x80\xa6'
1054402491847241728;b'4 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402519504510977;b'5 #MiVotoLCA es para que el tema #NoEsJusto de @JBalvin @CuentaAtrasCMM @CMM_es #NovedadesLCA'
1054402569039167489;b'RT @Anuel_2bleA: Gracias a @JBALVIN por la oportunidad anoche..  \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96#RealHastaLaMuerte #VibrasTour NY https://t.co/xTjvG1xc6b'
1054402596423688192;b'RT @YvannaCancela: It\xe2\x80\x99s day 3 of early voting in Nevada. @BarackObama is here today with @JBALVIN! Don\xe2\x80\x99t have tickets? Click here: https://\xe2\x80\xa6'
1054402668318416896;b'@nvdems @BarackObama @JBALVIN @AmericaFerrera @TheSaltNPepa When they go low we go vote. @MichelleObama'
1054403022795800578;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054403060750053377;b'RT @Anuel_2bleA: No cambiamos s\xc3\xb3lo aprendemos y aprender no es cambiar, es crecer. @anuel_2blea  Emmanuel - JBalvin. https://t.co/2XtoLjvUJd'
1054403334109626369;b'@shelovsdemi @nagoray @pandlernews ooh jbalvin mija aqui'
1054403568525041665;b'#KarolG is atomic \xf0\x9f\x92\xa5 More than once have I experienced #JBalvin bring on stage all my favorites \xe2\x9d\xa4\xef\xb8\x8f this weekend I fl\xe2\x80\xa6 https://t.co/iQgNi5Nx4D'
1054403764810080256;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054403910146932741;b'#NowPlaying I Like It ft Bad Bunny &amp, JBalvin - Cardi B On https://t.co/bnrGeb34V1'
1054403928337604608;b'RT @Anuel_2bleA: Gracias a @JBALVIN por la oportunidad anoche..  \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96#RealHastaLaMuerte #VibrasTour NY https://t.co/xTjvG1xc6b'
1054404114518548481;b'RT @Anuel_2bleA: Gracias a @JBALVIN por la oportunidad anoche..  \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96#RealHastaLaMuerte #VibrasTour NY https://t.co/xTjvG1xc6b'
1054404293715931136;b'RT @grisyhbalvin: Me reporto a marat\xc3\xb3n #Maraton por @JBALVIN desde Mexico @Vale_LaFamilia @PrediNyNjFamili @JBalvinMexFc @JBalvinMtyMexFC'
1054404453586079744;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054404460925992960;b'RT @grisyhbalvin: Me reporto a marat\xc3\xb3n #MaratonPCA por @JBALVIN desde Mexico @Vale_LaFamilia @PrediNyNjFamili @JBalvinMexFc @JBalvinMtyMexFC'
1054404604551720961;b'JBalvin Willy William feat.Beyonce - Mi Gente-remix\n\nLISTEN LIVE!!!\nhttps://t.co/QAIaS5e077'
1054404611526799361;b'Hola @exatv pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054404619147923457;b'Hay rumores de que @MariahCarey ha grabado una canci\xc3\xb3n con @JBALVIN para su nuevo disco. \n#Caution'
1054404655416045568;b'Hola @exafm973 pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054404691201875970;b'Hola @ExaElPaso pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054404732419301376;b'Hola @alfa1045fm pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054404779374448641;b'Hola @alfa913fm pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054404839734697984;b'Hola @Oye897 pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054404860781740032;b'RT @La_familia_La: \xc2\xa1Acomp\xc3\xa1\xc3\xb1ame con el Presidente @BarackObama,  y el invitado musical especial @JBALVIN para un rally en Las Vegas este lun\xe2\x80\xa6'
1054404913621549057;b'Hola @Joya937FM pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054404956088885248;b'Hola @exitos913 pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054404991786590208;b'Hola @CocaColaFM pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405044739731456;b'Hola @via_radio pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405146137018368;b'Hola @fmtumonterrey pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405298314768385;b'Hola @digital1029 pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405398629888000;b'Hola @exatv pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405439687983104;b'Hola @exafm973 pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405494390116357;b'Hola @ExaElPaso pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405528628224000;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054405532868591618;b'Hola @alfa913fm pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405588350889989;b'Hola @genesis981fm pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405654612447234;b'Hola @digital1029 pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405698396868608;b'Hola @los40monterrey pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405753044434950;b'Hola @Oye897 pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405797571186688;b'Hola @Joya937FM pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405845189046272;b'Hola @exitos913 pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054405946921963520;b'Hola @CocaColaFM pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054406008360103936;b'Hola @via_radio pueden poner la canci\xc3\xb3n XRemix de Maluma, NickyJamPR, JBALVIN y Ozuna_Pr para MalumaFamilyNL por favor \xe2\x9d\x8c'
1054406063053856769;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054406451295412226;b'RT @Anuel_2bleA: No cambiamos s\xc3\xb3lo aprendemos y aprender no es cambiar, es crecer. @anuel_2blea  Emmanuel - JBalvin. https://t.co/2XtoLjvUJd'
1054406462850695168;b'\xf0\x9f\x8e\xb6NP: I like it by @iamcardib @bad_bunnyPR @JBALVIN  w/@kiki_hendrix20  @DonTeebaba \n#thirtytwofm\xe2\x80\xa6 https://t.co/ppa4FVhCGr'
1054406671114608640;b'RT @TrapUpdates: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8 HOY Anuel AA apareci\xc3\xb3 en el concierto de J Balvin en Brooklyn NY. Interpret\xc3\xb3 Ayer 2 y Quiere Beber \xf0\x9f\x94\xa5\xf0\x9f\x91\xb9\xf0\x9f\x91\xb9\xf0\x9f\x94\x9c @Anuel_2bleA @J\xe2\x80\xa6'
1054406733429460993;b'RT @Anuel_2bleA: No cambiamos s\xc3\xb3lo aprendemos y aprender no es cambiar, es crecer. @anuel_2blea  Emmanuel - JBalvin. https://t.co/2XtoLjvUJd'
1054406816766025728;b"@JBALVIN @MichaelBrun https://t.co/4ijEcJkN3Y Wait y'all I just read this interview and it's also fire, I'm SO here\xe2\x80\xa6 https://t.co/j6ZslEw7cy"
1054407007913033729;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054407116994306048;b'I feel like @JBALVIN needs to remix Suncity. \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc @thegreatkhalid'
1054407200851017729;b'RT @Anuel_2bleA: No cambiamos s\xc3\xb3lo aprendemos y aprender no es cambiar, es crecer. @anuel_2blea  Emmanuel - JBalvin. https://t.co/2XtoLjvUJd'
1054407356761681929;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054407367016747011;b'Yo, con todos los \xc3\xa1lbumes de @JBALVIN'
1054407844861161472;b'RT @La_familia_La: \xf0\x9f\x8e\xb6 baila esta tarde al ritmo de #NoEsJusto de @jbalvin junto a @zionylennox \xf0\x9f\x92\x83 Dale play en #Spotify y a bailar! \xf0\x9f\x94\xa5 \xf0\x9f\x94\x8a" http\xe2\x80\xa6'
1054408168191807489;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054408424153366528;b'RT @ElTrapeo: #Preview: #ElGanadorRemix de @NickyJamPR featuring @ArcangelPrrra, #BadBunny, @JBALVIN y @daddy_yankee.\n(Parte de Bad Bunny)\xe2\x80\xa6'
1054408583650140160;b'RT @SusieLeeNV: I hope you\xe2\x80\x99ll join me with President @BarackObama, special musical guest @JBALVIN, and the @nvdems on Monday as we kick #Ea\xe2\x80\xa6'
1054408740466642947;b"RT @nvdems: It's not too late to get your ticket to hear from President @BarackObama and very special guests @JBALVIN, @AmericaFerrera and\xe2\x80\xa6"
1054408787652698113;b'RT @RoMyGranata: Hola @Quieromusicatv ,quiero dejar votos para el nuevo video de @JBALVIN #NoEsJusto\xc2\xa0\xc2\xa0 en #Los15Mejores\nMuchas gracias! @jb\xe2\x80\xa6'
1054408818392813569;b'RT @RoMyGranata: Hola @radiolatina1011, quisiera escuchar #NoEsJusto\xc2\xa0 lo nuevo de @JBALVIN \xf0\x9f\x98\x8d\nMuchas gracias! @jbalvinfcarg'
1054408834167595008;b'RT @RoMyGranata: !Hola @Los40Ar ,quer\xc3\xada dejar votos para #NoEsJusto de @JBALVIN\xc2\xa0 en el ranking #Del40Al1 \xf0\x9f\x98\x98\nMuchas gracias! @jbalvinfcarg'
1054408846276546560;b'RT @RoMyGranata: Hola @HTVMusica ,quiero dejar votos para el video de #NoEsJusto\xc2\xa0 de @JBALVIN\xc2\xa0 \xf0\x9f\x98\x8d en el #HotRanking\nMuchas gracias! @jbalvin\xe2\x80\xa6'
1054408856980373504;b'RT @RoMyGranata: Hola @RadiodisneyLA , quiero dejar votos para #NoEsJusto de @JBALVIN\xc2\xa0 \nMuchas gracias! @jbalvinfcarg \xf0\x9f\x98\x98'
1054408859123617793;b'RT @LucasOrozcoF: Amigos Mocca sin Jbalvin suena mejor sorry'
1054408867713613824;b'RT @RoMyGranata: Hola @Vale975,quiero dejar votos para\xc2\xa0 el #RankingVale lo nuevo de @JBALVIN #NoEsJusto GRACIAS @jbalvinfcarg'
1054408879302426625;b'RT @RoMyGranata: Hola @late931oficial , quisiera escuchar #NoEsJusto\xc2\xa0 lo nuevo de @JBALVIN \xf0\x9f\x98\x8d\nMuchas gracias! @jbalvinfcarg'
1054408891533004800;b'RT @RoMyGranata: Hola @guaparadio , quisiera escuchar #NoEsJusto lo nuevo de @JBALVIN \xf0\x9f\x98\x8d\nMuchas gracias! @jbalvinfcarg'
1054409069040029698;b'RT @SylviaLazos: Forget about @BarackObama,  @JBALVIN \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9 #SISePuede !! https://t.co/lihlCid9gs'
1054409484729237505;b'#Vibing \xf0\x9f\x93\xbb \n\nX - @NickyJamPR @JBALVIN      \n\nOn #ClockOut w/ @HashimStyleBuff \n\n#MusicMonday \n\nhttps://t.co/pdAaoaEWlK'
1054409910111232000;b"RT @nvdems: It's not too late to get your ticket to hear from President @BarackObama and very special guests @JBALVIN, @AmericaFerrera and\xe2\x80\xa6"
1054410476258582528;b"I can't front,  seeing @Anuel_2bleA at Jbalvin's concert on Saturday was a pretty nice surprise."
1054410514846179328;b'#MaximizaTuMusica con @JBalvin - Sigo Extra\xc3\xb1andote / @jbalvin_ecuador en #RadioMakroDigital'
1054410542696316928;b"RT @nvdems: It's not too late to get your ticket to hear from President @BarackObama and very special guests @JBALVIN, @AmericaFerrera and\xe2\x80\xa6"
1054410766504419329;b'Saludos @RadioDisneyBRA Nos gustaria escuchar lo mas reciente de #JBalvin #NoEsJusto gracias'
1054410809458257920;b'Mentira Jbalvin e Anitta empatam'
1054410849392181249;b'Saludos @LAPOPU103 Nos gustaria escuchar lo mas reciente de #JBalvin #NoEsJusto gracias'
1054410909517578242;b'Saludos @E40FM Nos gustaria escuchar lo mas reciente de #JBalvin #NoEsJusto gracias'
1054410990849310720;b'Saludos @FarraPlay_ Nos gustaria escuchar lo mas reciente de #JBalvin #NoEsJusto gracias'
1054411130016272385;b'Saludos @RadioDisneyLA Nos gustaria escuchar lo mas reciente de #JBalvin #NoEsJusto gracias'
1054411148324413445;b'RT @Anuel_2bleA: \xf0\x9f\x91\xb9\xe2\x9c\x96\xef\xb8\x8f\xf0\x9f\xa6\x96 https://t.co/bBZP5cK60x'
1054411422149603328;b'Saludos @RQPPARAGUAY Nos gustaria escuchar lo mas reciente de #JBalvin #NoEsJusto gracias'
1054411708800925698;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054411714643542016;b'RT @Anuel_2bleA: No cambiamos s\xc3\xb3lo aprendemos y aprender no es cambiar, es crecer. @anuel_2blea  Emmanuel - JBalvin. https://t.co/2XtoLjvUJd'
1054412018437050368;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054412107851141120;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054412155129348097;b'@somosla92 @RivaPopMusic s\xc3\xbaper feliz d\xc3\xada hermosaa mua me pod\xc3\xadas poner el perdedor de @jesusmiranda  @JBALVIN'
1054412267935154177;b'Nos gustaria ver el nyevo sencillo #NoEsJusto de #jbalvin en el @HTVHotRanking de @HTVMusica'
1054412317532868608;b'RT @cruzrobert94: \xe2\x80\x9cSi quiero compro los carros que antes tenia en Hot Wheels\xe2\x80\x9d https://t.co/UHEsEIeWfs'
1054412353993891841;b'Nos gustaria ver el nuevo sencillo #NoEsJusto de #jbalvin en el @HTVHotRanking de @HTVMusica.'
1054412432406392832;b'Nos gustaria ver el nuevo sencillo #NoEsJusto de #jbalvin en el @HTVHotRanking de @HTVMusica..'
1054412473284083713;b'Nos gustaria ver el nuevo sencillo #NoEsJusto de #jbalvin en el @HTVHotRanking de @HTVMusica'
1054412484122210305;b'Que ganas de otro concierto de @JBALVIN'
1054412669862711296;b'RT @flawalyss: ft shawn\nft mkg \nft major lazer  \nft travis scott\nft pitbull\nft jbalvin\nft cashmere cat\nft quavo\nft young thug\nft daddy yank\xe2\x80\xa6'
1054412703694053376;b'Nos gustaria ver el nuevo sencillo #NoEsJusto de #jbalvin en el @HTVHotRanking de @HTVMusica,'
1054412825077010432;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054413654140043264;b'RT @BillboardArg: \xe2\x80\x9cCuando te bes\xc3\xa9\xe2\x80\x9d, de @PauloLondra y @iambeckyg se qued\xc3\xb3 con la cima del primer chart oficial argentino de canciones. En e\xe2\x80\xa6'
1054413737162088448;b'#MiVotoLCA es para  el tema #NoEsJusto de @JBALVIN  @CuentaAtrasCMM @CMM_es #novedadesLCA'
1054413971460112384;b'RT @La_familia_La: \xc2\xa1Acomp\xc3\xa1\xc3\xb1ame con el Presidente @BarackObama,  y el invitado musical especial @JBALVIN para un rally en Las Vegas este lun\xe2\x80\xa6'
1054414050606678019;b'RT @Anuel_2bleA: No cambiamos s\xc3\xb3lo aprendemos y aprender no es cambiar, es crecer. @anuel_2blea  Emmanuel - JBalvin. https://t.co/2XtoLjvUJd'
1054414223512612864;b'RT @LiamPayne: \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc https://t.co/XlheSIyu29'
1054414305418858496;b'RT @Therealtdavis: @AaronDFordNV @BarackObama @JBALVIN @TheSaltNPepa Lol this is hilarious. Shows how out of touch Dems are.'
1054414322586202112;b'RT @kriDan1: @AaronDFordNV @BarackObama @JBALVIN @TheSaltNPepa No thanks...'
1054414410792529920;b'RT @La_familia_La: \xc2\xa1Acomp\xc3\xa1\xc3\xb1ame con el Presidente @BarackObama,  y el invitado musical especial @JBALVIN para un rally en Las Vegas este lun\xe2\x80\xa6'
1054414501070557195;b'No thanks. Once was more than enough...'
1054414548034338816;b'#MiVotoLCA es para  el tema #NoEsJusto de @JBALVIN  @CuentaAtrasCMM @CMM_es #novedadesLCA.'
1054414581370630146;b'RT @Rayla: Awesome!!! Thank you for the \xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96!!@Hits100AZ \xf0\x9f\x98\x8a https://t.co/QUHXK173Gx'
1054414685536247808;b'#MiVotoLCA es para  el tema #NoEsJusto de @JBALVIN  @CuentaAtrasCMM @CMM_es #novedadesLCA ..'
1054414725512077314;b'#MiVotoLCA es para  el tema #NoEsJusto de @JBALVIN  @CuentaAtrasCMM @CMM_es #novedadesLCA ,'
